time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.49629074078e-08,-5.76270432743e-08,10.0026988671,6.28286234275,6.28316474329,0.0,1.52332348944e-06,-1.50558587503e-05,0.0899586760749,-0.0192303784978,-0.00103722023461,0.0,434.023695048023,433.9366584784012,434.23170156448833,432.61587260376893
0.12000000000000001,5.14271985554e-07,-1.22568408293e-05,10.012627967,6.28218063139,0.000187229082055,0.0,5.77566558075e-06,-0.000488408311341,0.240990712573,0.000973355132857,0.0112138770655,0.0,452.8510394799235,453.8352064294572,451.48288783103817,453.10984328834917
0.18,-7.54390860261e-06,-6.80250790316e-05,10.035968098,6.28193236336,0.000972801803385,0.0,-0.000370214783886,-0.0013793210633,0.536921669505,-0.0170754153165,0.0166083241735,0.0,495.37226743202484,495.7685829753247,495.64867386466113,494.320726894878
0.23999999999999996,-5.71054258256e-05,-0.000184939461955,10.074138382,6.28076637833,0.00199294988918,0.0,-0.00139927063589,-0.00264479534529,0.735313858955,-0.0246227036512,0.0177792862405,0.0,467.4311145851806,467.52224907646377,467.6294860873995,467.0413491008287
0.3,-0.000191466691278,-0.000405166446811,10.1234180644,6.27908639739,0.00340351613892,0.0,-0.00322088837451,-0.00487244077093,0.907220401142,-0.0357920858782,0.0330303423029,0.0,460.17259058178513,461.37813923233335,459.11507620878956,458.22794715813654
0.36000000000000004,-0.000468487004383,-0.000795047468943,10.1820463392,6.27748645632,0.00627865873069,0.0,-0.00628546045194,-0.00832045562986,1.04693545635,-0.0128148917927,0.0676828029057,0.0,448.4557042512044,451.26249646392756,449.56024394703644,451.41771558685826
0.4200000000000001,-0.000993524482286,-0.00141690017841,10.248228934,6.27690407048,0.00990027797572,0.0,-0.0116209840886,-0.0124768003263,1.15904021107,-0.00411956086852,0.0387455076981,0.0,442.8558996218193,440.4719670084315,441.6691938900695,442.38579549021387
0.48000000000000015,-0.00191633776746,-0.00230342578685,10.3219548917,6.27691035826,0.0119818893834,0.0,-0.0193771638539,-0.0170848981683,1.29834093752,0.00744047465145,0.025022041092,0.0,452.1128898532732,451.00643318354673,449.0872111904125,450.0238042645862
0.5400000000000001,-0.00338755064699,-0.0034836477336,10.407337631,6.2777532304,0.0137555169502,0.0,-0.0298642710107,-0.0221708949016,1.547444945,0.0247621085905,0.0373661571895,0.0,482.8458035499694,483.776258885042,483.1514438847539,484.45538586708363
0.6000000000000002,-0.00547166075617,-0.00491869479717,10.5031372872,6.28024480323,0.016164236224,0.0,-0.0398412516778,-0.0254486625568,1.64573777424,0.0629167698209,0.0451919134799,0.0,438.0875861974001,438.73860373832775,437.4978602189543,440.6637647774539
